_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp,chars,errors,extra,missed
69569374783db59f598f9b69,False,52.4,95.62,52.4,68.94,262;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2026-01-01 15:32:04,262,0,0,0
69563aa7783db59f598cda72,False,44.0,86.82,44.0,62.44,220;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2026-01-01 09:13:11,220,0,0,0
69563a5e783db59f598cd881,False,49.6,93.7,49.6,58.16,248;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2026-01-01 09:11:58,248,0,0,0
694fd474783db59f595ce163,False,50.4,92.7,50.4,63.95,252;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-12-27 12:43:32,252,0,0,0
694e1d7d783db59f594fde4c,False,54.61,94.81,54.61,70.28,273;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-26 05:30:37,273,0,0,0
694d16e6783db59f5948831b,False,52.61,93.95,52.61,68.22,263;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-25 10:50:14,263,0,0,0
69429bfe854566ecd90e0c70,False,52.81,93.99,52.81,66.91,264;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-17 12:03:10,264,0,0,0
6940e442854566ecd9fc878f,False,41.8,89.54,41.8,52.55,209;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-16 04:46:58,209,0,0,0
6940e356854566ecd9fc7f75,False,49.81,95.04,49.81,69.57,249;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-16 04:43:02,249,0,0,0
6940252b854566ecd9f4bee1,False,52.0,94.91,52.0,66.61,260;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-15 15:11:39,260,0,0,0
6937a8f3dd1047f205692e8d,False,53.21,94.68,53.21,67.44,266;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-09 04:43:31,266,0,0,0
6936bd09dd1047f2055eeb96,False,49.2,95.4,49.2,62.99,246;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-12-08 11:56:57,246,0,0,0
6936bcc6dd1047f2055ee8c3,False,43.0,88.0,43.0,60.06,215;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-12-08 11:55:50,215,0,0,0
6932f81fdd1047f2053f177d,False,50.21,91.04,50.81,63.01,251;2;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-05 15:19:59,251,2,0,0
6932f7d9dd1047f2053f1343,False,48.2,91.76,48.2,62.1,241;0;0;0,time,60,-1,0,59.99,0,0.0,False,False,english,,normal,False,False,False,,2025-12-05 15:18:49,241,0,0,0
6931a216097f65b36b51ddf4,False,47.99,92.69,47.99,61.48,240;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-12-04 15:00:38,240,0,0,0
69314910097f65b36b4d9a23,False,57.0,97.63,57.2,68.0,285;1;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-12-04 08:40:48,285,1,0,0
692bb925097f65b36b140a3f,False,53.39,96.4,53.39,70.26,267;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-30 03:25:25,267,0,0,0
69259a4594e1249ab94389a8,False,41.39,86.48,41.59,54.96,207;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-25 12:00:05,207,1,0,0
69259a0494e1249ab94386d3,False,41.59,87.92,41.59,55.33,208;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-25 11:59:00,208,0,0,0
692599c194e1249ab943841f,False,46.19,89.31,46.19,56.2,231;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-25 11:57:53,231,0,0,0
69200498d8e248a53b4d2bce,False,50.39,92.31,50.39,55.83,252;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-21 06:20:08,252,0,0,0
691ca37fd8e248a53b26cc7d,False,47.99,92.08,47.99,65.6,240;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-18 16:49:03,240,0,0,0
691ca33dd8e248a53b26c7b5,False,50.59,94.05,50.59,64.39,253;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-18 16:47:57,253,0,0,0
691ca2fcd8e248a53b26c338,False,48.99,92.86,48.99,66.71,245;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-18 16:46:52,245,0,0,0
691ca2b6d8e248a53b26be8d,False,53.8,94.74,53.8,61.08,269;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-11-18 16:45:42,269,0,0,0
69189c0f73393afa8b80f6b1,False,43.8,90.32,43.8,56.66,219;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-11-15 15:28:15,219,0,0,0
69189bcc73393afa8b80f3d4,False,48.2,91.85,49.0,62.72,241;0;0;1,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-11-15 15:27:08,241,0,0,1
6908997b3ba5c30337ff2069,False,46.19,90.98,46.19,66.56,231;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 12:00:59,231,0,0,0
690899383ba5c30337ff1de5,False,44.99,89.64,44.99,59.91,225;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:59:52,225,0,0,0
690898f63ba5c30337ff1b4b,False,37.59,84.82,37.59,50.5,188;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:58:46,188,0,0,0
690898b23ba5c30337ff18bc,False,45.99,87.36,46.99,58.6,230;2;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:57:38,230,2,0,0
68fef97d58e46f71a95e6e92,False,49.6,93.01,50.4,61.71,248;1;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-10-27 04:47:57,248,1,0,0
