_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
69569374783db59f598f9b69,,52.4,95.62,52.4,68.94,262;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1767281524000
69563aa7783db59f598cda72,,44,86.82,44,62.44,220;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1767258791000
69563a5e783db59f598cd881,,49.6,93.7,49.6,58.16,248;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1767258718000
694fd474783db59f595ce163,,50.4,92.7,50.4,63.95,252;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1766839412000
694e1d7d783db59f594fde4c,,54.61,94.81,54.61,70.28,273;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1766727037000
694d16e6783db59f5948831b,,52.61,93.95,52.61,68.22,263;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1766659814000
69429bfe854566ecd90e0c70,,52.81,93.99,52.81,66.91,264;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1765972990000
6940e442854566ecd9fc878f,,41.8,89.54,41.8,52.55,209;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1765860418000
6940e356854566ecd9fc7f75,,49.81,95.04,49.81,69.57,249;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1765860182000
6940252b854566ecd9f4bee1,,52,94.91,52,66.61,260;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1765811499000
6937a8f3dd1047f205692e8d,,53.21,94.68,53.21,67.44,266;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1765255411000
6936bd09dd1047f2055eeb96,,49.2,95.4,49.2,62.99,246;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1765195017000
6936bcc6dd1047f2055ee8c3,,43,88,43,60.06,215;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1765194950000
6932f81fdd1047f2053f177d,,50.21,91.04,50.81,63.01,251;2;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1764947999000
6932f7d9dd1047f2053f1343,,48.2,91.76,48.2,62.1,241;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1764947929000
6931a216097f65b36b51ddf4,,47.99,92.69,47.99,61.48,240;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1764860438000
69314910097f65b36b4d9a23,,57,97.63,57.2,68,285;1;0;0,time,60,-1,0,60,1,0,false,false,english,,normal,false,false,false,,1764837648000
692bb925097f65b36b140a3f,,53.39,96.4,53.39,70.26,267;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1764473125000
69259a4594e1249ab94389a8,,41.39,86.48,41.59,54.96,207;1;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1764072005000
69259a0494e1249ab94386d3,,41.59,87.92,41.59,55.33,208;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1764071940000
692599c194e1249ab943841f,,46.19,89.31,46.19,56.2,231;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1764071873000
69200498d8e248a53b4d2bce,,50.39,92.31,50.39,55.83,252;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1763706008000
